6111289ba84e99323f322ffe0ac8a84e9cd2931f	2024-01-16	Force notifying property callback if DeviceConfig is not updated
7fd409dea29b0ffdfc741d936f8a8a85394bdb0c	2021-11-24	Change Update System Information behavior on receiving Report Physical Address
8dc6feaee7c0a5cea093b5280acaad862921cf3e	2024-01-10	Fix security vulnerability that creates user with no restrictions when accountOptions are too long.
33a90988cf3b59a3b8dc9f699d155688be8d5623	2024-01-10	Fix security vulnerability that creates user with no restrictions when accountOptions are too long.
79f82b24a1abbd5f53b004c7c3f78babf1d48e2c	2024-01-10	Fix security vulnerability that creates user with no restrictions when accountOptions are too long.
7e91582908475af43ff188d9d7e97aea2cdf8ee2	2024-01-10	Fix security vulnerability that creates user with no restrictions when accountOptions are too long.
1c075bf76520d360c55a3b53c3d2e91809eb2a57	2024-01-12	Hide size compat restart button in unfolded fullscreen
28dcae492cc91182e3242a4fb6ef5b65a67637db	2024-01-16	Making adapter child views in RemoteCollectionItemsAdapter size-aware
64868085724364c7483e4e27dda798c48b68c294	2023-12-06	[flexiglass] Add logic to dispatch touches from NSSL to Flexiglass
7b0adf2eec6de98e67baab9d8370e248d1d2f9a0	2024-01-16	Use createForAllProfiles SubscriptionManager
3a614dd98275a9acd5c451442ae7d5d25392020c	2023-11-17	Add the second toggle for the egress data permission on voice activation apps toggle page.
0591c13dd481ce46b7eacc846f504fb61646f69d	2024-01-16	Fix the corner artifacts on UMO on touch ripple and noise.
e18890b56bf14389fcb8a1d654b2a6f0d14280ea	2024-01-16	Use createForAllProfiles SubscriptionManager
94ddf1f02540a130e88698c7cc3f2045a3246b94	2024-01-16	Protect against possible NPE
16736c265e283ef4d722c3fdac40ad9fa0d228ca	2024-01-17	Fix NPEs in AppIdPermissionPolicy.
656c408d2372af6025d7450d6b415ddfd37df939	2024-01-15	Allow BAL permission for UserManagerService
5d4aef88dda464dd4e73bba929fb31cea3d8b7ac	2024-01-17	Force initialize MediaCodec during initializing Tuner to fix flaky cts result
b5d2736c04ab56ee23bdd2225b9c36b0dedeb307	2024-01-17	Opt in ActivityStartInterceptor for BAL
2e3a179e53aa9d8caa62790dab0875ad86d8f6e2	2024-01-17	Correct namespace for frp_enforcement flag.
21cb687595b0414485f016b7589ceeecbb078833	2024-01-17	Update resources on views in QSFooterImpl
5b6153e8e8b03d1b01aaea4bb738eb72c5e820f0	2024-01-17	Evaluate runtime permissions state for their appop
696bd25a702124a9f022969efeb08e40143f8b29	2024-01-17	MISSION UPDATE -- MISSION CONTINUES
723f5086d858fefa3b209394b1361193dd9fb003	2024-01-12	Enforce rounded corners for communal widgets
6c77eb3c7783ee95df3359403bb0d0f1c9e1af77	2023-11-01	Fix deadlock between TRMS lock and Tuner.mLnbLock
d05c0ff623ce7362ad718e51b378805450928fe9	2024-01-09	[SettingsProvider] use per-prefix caches for Config.getStrings queries
cd7f4fada9cd5b3e4be2518b8c6ab6fb4dd95996	2024-01-17	Fix UnlockedDeviceRequired with weak unlock methods
cf93a3a3f55755ed2a5599aed57fa8aaaabfcb7c	2024-01-17	Fix NPEs in {AppId,Package}AppOpPolicy
5991c48af96621d0ff14db7e7a2a4ccfd4e999f8	2024-01-17	[SettingsProvider] fix potential MemoryIntArray leakage
5de953a91afa44c89907827825d3f0e0d5242d86	2024-01-17	Feature Flag for restricting PendingIntents by same UID
0996e608eb82c9d88ab39b00e657614e8d9bb2e0	2024-01-10	Update enums to match ConnectionEvent.aidl and SecurityAlgorithm.aidl
596fa1789c222ab224076b60de470d96865a5d6a	2023-11-10	[res] Optimize name lookups in idmap service
b53da7114e1b1b1970ed692cfd3c2d380a7d2274	2024-01-16	Set flex policy based on job priority.
0dcff8a31fe429af3cabcced2615fec7de15b909	2024-01-17	Revert "Support GNSS configuration overlay from resource"
4ba8795c4830e8e04ac83ef878458885e13ef7e2	2021-06-10	Support GNSS configuration overlay from resource
a9156d61fbfd348ac587e9cc579db2669b571745	2024-01-16	Simplify RemoteInputConnectionImpl#finishComposingText*()
ad212fdbbe99af31cc743d49a5538e3c28751942	2024-01-03	[ToA] Add READ_SYSTEM_GRAMMATICAL_GENDER to privapp-permissions.
f18058bc4e36b49a9e47f59d3ca20ae7d286c165	2024-01-18	Mock Resources in DisplayModeDirectorTest
a640c1645a9c92fa21f04f13ded10a7f12450687	2024-01-11	Baseline Testables updates for Ravenwood.
bca87150b8aae582f63c14ea3b095b7a5b232885	2024-01-18	Revert "Evaluate runtime permissions state for their appop"
b0ed625c7243a01675e0764383c43f9863ed7f91	2024-01-18	Revert "Fix NPEs in {AppId,Package}AppOpPolicy"
8072758750b72432f3f7c34c609e889313d81499	2023-12-01	Pointer Icon Refactor: Load resources for system icons before drawing
7b7b46bc14c65bd75a24af393678ad85bc9dc827	2024-01-17	[Sat] Carrier-based view model + signal
9c88a324c06ebb399c608ce314186b28dd6211fe	2024-01-18	Revert^2 "Fix NPEs in {AppId,Package}AppOpPolicy"
2671bd0de6333e9d30c209b798acea7392bc8a22	2024-01-18	Update NotifIconAreaCtrlr if NICRefactor is off
722cfff0aa9487e2cff343631a318e7f332ec474	2024-01-18	Revert^2 "[SettingsProvider] use per-prefix caches for Config.getStrings queries"
3cecfb160e8322d2c93e3ee9a0f98f977b515c1e	2024-01-17	[flexiglass] Prevent unintentional switching to the Gone scene.
f7bfbc3490bf66fd8c4dce7cad7de0fd7c6cca70	2024-01-19	New PermissionsChangedFlow
b01504da752c9696961d6ccf146a3504477591ba	2024-01-19	Log exception when MediaPlayer.attemptDataSource fails
aece46c8b0b21263f81d65d60133ab309f9556bc	2024-01-10	Add privapp permissions for DeviceDiagnostics
ac74a023f2807f6474a07cb63c8f4cdf83f871df	2024-01-19	Report multiple in-process primary connections
5f9a0abdebf963b2fe76e8b2c73bebe700960e65	2023-12-18	Don't rush job checking at boot.
526804c7e6e3f20b1d0b9a8bdc1d68dc7c31d62f	2024-01-22	Fix NPE in MR2ServiceImpl#checkArgumentsForSessionControl
e0b419960b8a850fe02d36af954711c4a1310e6c	2024-01-17	Check permission of the calling process
07a30c911c6f7f70551bb13c189bad8c01d07c26	2023-11-22	ASM Rule and Debug Updates.
62ee3bce39dc82aaa49f6582cb12e92ad5ea95cd	2024-01-10	Add signature permission allowlist.
